Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-05-07,Quentin Jerome Tarantino,rankings,https://boxd.it/5rYZe,"This probably won't get noticed by many because it's such a popular topic, but this is my personal ranking of Tarantino's films.

Update - I need to rewatch most of these"

Position,Name,Year,URL,Description
1,Kill Bill: The Whole Bloody Affair,2004,https://boxd.it/eCrQ,
2,Pulp Fiction,1994,https://boxd.it/29Pq,
3,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
4,Inglourious Basterds,2009,https://boxd.it/1JzG,
5,Django Unchained,2012,https://boxd.it/2cCk,
6,Death Proof,2007,https://boxd.it/27GG,
7,Reservoir Dogs,1992,https://boxd.it/2agc,
8,The Hateful Eight,2015,https://boxd.it/8gw8,
9,Jackie Brown,1997,https://boxd.it/2aVO,
